Country,StatusDate,Infections,Deaths,Recovery
Afghanistan,2/24/2020,1,0,0
Afghanistan,3/8/2020,4,0,0
Afghanistan,3/10/2020,5,0,0
Afghanistan,3/11/2020,7,0,0
Afghanistan,3/14/2020,11,0,0
Afghanistan,3/15/2020,16,0,0
Afghanistan,3/16/2020,21,0,1
Afghanistan,3/17/2020,22,0,1
Afghanistan,3/20/2020,24,0,1
Afghanistan,3/22/2020,40,1,1
Afghanistan,3/23/2020,40,1,1
Afghanistan,3/24/2020,74,1,1
Afghanistan,3/25/2020,84,2,2
Afghanistan,3/26/2020,94,4,2
Afghanistan,3/27/2020,110,4,2
Afghanistan,3/28/2020,110,4,2
Afghanistan,3/29/2020,120,4,2
Afghanistan,3/30/2020,170,4,2
Afghanistan,3/31/2020,174,4,5
Afghanistan,4/1/2020,237,4,5
Afghanistan,4/2/2020,273,6,10
Afghanistan,4/3/2020,281,6,10
