Country,StatusDate,Infections,Deaths,Recovery
Albania,3/9/2020,2,0,0
Albania,3/10/2020,10,0,0
Albania,3/11/2020,12,1,0
Albania,3/12/2020,23,1,0
Albania,3/14/2020,38,1,0
Albania,3/15/2020,42,1,0
Albania,3/16/2020,51,1,0
Albania,3/17/2020,55,1,0
Albania,3/18/2020,59,2,0
Albania,3/19/2020,64,2,0
Albania,3/20/2020,70,2,0
Albania,3/21/2020,76,2,2
Albania,3/22/2020,89,2,2
Albania,3/23/2020,104,4,2
Albania,3/24/2020,123,5,10
Albania,3/25/2020,146,5,17
Albania,3/26/2020,174,6,17
Albania,3/27/2020,186,8,31
Albania,3/28/2020,197,10,31
Albania,3/29/2020,212,10,33
Albania,3/30/2020,223,11,44
Albania,3/31/2020,243,15,52
Albania,4/1/2020,259,15,67
Albania,4/2/2020,277,16,76
Albania,4/3/2020,304,17,89
