Country,StatusDate,Infections,Deaths,Recovery
Algeria,2/25/2020,1,0,0
Algeria,3/2/2020,3,0,0
Algeria,3/3/2020,5,0,0
Algeria,3/4/2020,12,0,0
Algeria,3/6/2020,17,0,0
Algeria,3/8/2020,19,0,0
Algeria,3/9/2020,20,0,0
Algeria,3/12/2020,24,1,8
Algeria,3/14/2020,37,3,12
Algeria,3/15/2020,48,4,12
Algeria,3/16/2020,54,4,12
Algeria,3/17/2020,60,4,12
Algeria,3/18/2020,74,7,12
Algeria,3/19/2020,87,9,32
Algeria,3/20/2020,90,11,32
Algeria,3/21/2020,139,15,32
Algeria,3/22/2020,201,17,65
Algeria,3/23/2020,230,17,65
Algeria,3/24/2020,264,19,24
Algeria,3/25/2020,302,21,65
Algeria,3/26/2020,367,25,29
Algeria,3/27/2020,409,26,29
Algeria,3/28/2020,454,29,31
Algeria,3/29/2020,511,31,31
Algeria,3/30/2020,584,35,37
Algeria,3/31/2020,716,44,46
Algeria,4/1/2020,847,58,61
Algeria,4/2/2020,986,86,61
Algeria,4/3/2020,1171,105,62
