Country,StatusDate,Infections,Deaths,Recovery
Andorra,3/2/2020,1,0,0
Andorra,3/12/2020,1,0,1
Andorra,3/16/2020,2,0,1
Andorra,3/17/2020,39,0,1
Andorra,3/19/2020,53,0,1
Andorra,3/20/2020,75,0,1
Andorra,3/21/2020,88,0,1
Andorra,3/22/2020,113,1,1
Andorra,3/23/2020,133,1,1
Andorra,3/24/2020,164,1,1
Andorra,3/25/2020,188,1,1
Andorra,3/26/2020,224,3,1
Andorra,3/27/2020,267,3,1
Andorra,3/28/2020,308,3,1
Andorra,3/29/2020,334,6,1
Andorra,3/30/2020,370,8,10
Andorra,3/31/2020,376,12,10
Andorra,4/1/2020,390,14,10
Andorra,4/2/2020,428,15,10
Andorra,4/3/2020,439,16,16
