Country,StatusDate,Infections,Deaths,Recovery
Antigua and Barbuda,3/15/2020,1,0,0
Antigua and Barbuda,3/22/2020,1,0,0
Antigua and Barbuda,3/23/2020,3,0,0
Antigua and Barbuda,3/24/2020,3,0,0
Antigua and Barbuda,3/25/2020,3,0,0
Antigua and Barbuda,3/26/2020,7,0,0
Antigua and Barbuda,3/27/2020,7,0,0
Antigua and Barbuda,3/28/2020,7,0,0
Antigua and Barbuda,3/29/2020,7,0,0
Antigua and Barbuda,3/30/2020,7,0,0
Antigua and Barbuda,3/31/2020,7,0,0
Antigua and Barbuda,4/1/2020,7,0,0
Antigua and Barbuda,4/2/2020,9,0,0
Antigua and Barbuda,4/3/2020,15,0,0
