Country,StatusDate,Infections,Deaths,Recovery
Argentina,3/3/2020,1,0,0
Argentina,3/4/2020,1,0,0
Argentina,3/6/2020,2,0,0
Argentina,3/7/2020,8,0,0
Argentina,3/8/2020,12,1,0
Argentina,3/10/2020,17,1,0
Argentina,3/11/2020,19,1,0
Argentina,3/14/2020,34,2,1
Argentina,3/15/2020,45,2,1
Argentina,3/16/2020,56,2,1
Argentina,3/17/2020,68,2,3
Argentina,3/18/2020,79,2,3
Argentina,3/19/2020,97,3,3
Argentina,3/20/2020,128,3,3
Argentina,3/21/2020,158,4,3
Argentina,3/22/2020,266,4,27
Argentina,3/23/2020,266,4,27
Argentina,3/24/2020,387,6,52
Argentina,3/25/2020,387,8,52
Argentina,3/26/2020,502,9,63
Argentina,3/27/2020,589,13,72
Argentina,3/28/2020,690,18,72
Argentina,3/29/2020,745,19,72
Argentina,3/30/2020,820,23,228
Argentina,3/31/2020,1054,27,240
Argentina,4/1/2020,1054,28,248
Argentina,4/2/2020,1133,36,256
Argentina,4/3/2020,1265,39,266
