Country,StatusDate,Infections,Deaths,Recovery
Armenia,3/1/2020,1,0,0
Armenia,3/12/2020,4,0,0
Armenia,3/14/2020,18,0,0
Armenia,3/15/2020,26,0,0
Armenia,3/16/2020,52,0,0
Armenia,3/17/2020,78,0,1
Armenia,3/18/2020,84,0,1
Armenia,3/19/2020,115,0,1
Armenia,3/20/2020,136,0,1
Armenia,3/21/2020,160,0,1
Armenia,3/22/2020,194,0,2
Armenia,3/23/2020,235,0,2
Armenia,3/24/2020,249,0,14
Armenia,3/25/2020,265,0,16
Armenia,3/26/2020,290,1,18
Armenia,3/27/2020,329,1,28
Armenia,3/28/2020,407,1,30
Armenia,3/29/2020,424,3,30
Armenia,3/30/2020,482,3,30
Armenia,3/31/2020,532,3,30
Armenia,4/1/2020,571,4,31
Armenia,4/2/2020,663,7,33
Armenia,4/3/2020,736,7,43
