Country,StatusDate,Infections,Deaths,Recovery
Austria,2/25/2020,2,0,0
Austria,2/26/2020,2,0,0
Austria,2/29/2020,9,0,0
Austria,3/1/2020,14,0,0
Austria,3/2/2020,18,0,0
Austria,3/3/2020,21,0,0
Austria,3/4/2020,29,0,0
Austria,3/5/2020,41,0,0
Austria,3/6/2020,55,0,0
Austria,3/7/2020,79,0,0
Austria,3/8/2020,104,0,0
Austria,3/9/2020,131,0,2
Austria,3/10/2020,182,0,4
Austria,3/11/2020,246,0,4
Austria,3/12/2020,302,1,4
Austria,3/14/2020,655,1,6
Austria,3/15/2020,860,1,6
Austria,3/16/2020,1018,3,6
Austria,3/17/2020,1332,3,1
Austria,3/18/2020,1646,4,9
Austria,3/19/2020,2013,6,9
Austria,3/20/2020,2388,6,9
Austria,3/21/2020,2814,8,9
Austria,3/22/2020,3580,16,9
Austria,3/23/2020,4474,21,9
Austria,3/24/2020,5283,28,9
Austria,3/25/2020,5588,30,9
Austria,3/26/2020,6909,49,112
Austria,3/27/2020,7657,58,225
Austria,3/28/2020,8271,68,225
Austria,3/29/2020,8788,86,479
Austria,3/30/2020,9618,108,636
Austria,3/31/2020,10180,128,1095
Austria,4/1/2020,10711,146,1436
Austria,4/2/2020,11129,158,1749
Austria,4/3/2020,11524,168,2022
