Country,StatusDate,Infections,Deaths,Recovery
Bahrain,2/24/2020,1,0,0
Bahrain,2/25/2020,23,0,0
Bahrain,2/26/2020,33,0,0
Bahrain,2/28/2020,36,0,0
Bahrain,2/29/2020,41,0,0
Bahrain,3/1/2020,47,0,0
Bahrain,3/2/2020,49,0,0
Bahrain,3/4/2020,52,0,0
Bahrain,3/5/2020,55,0,0
Bahrain,3/6/2020,60,0,4
Bahrain,3/7/2020,85,0,4
Bahrain,3/9/2020,95,0,14
Bahrain,3/10/2020,110,0,22
Bahrain,3/11/2020,195,0,35
Bahrain,3/14/2020,210,0,44
Bahrain,3/16/2020,214,1,77
Bahrain,3/17/2020,228,1,81
Bahrain,3/18/2020,256,1,88
Bahrain,3/19/2020,278,1,100
Bahrain,3/20/2020,285,1,100
Bahrain,3/21/2020,305,1,125
Bahrain,3/22/2020,334,2,149
Bahrain,3/23/2020,377,2,164
Bahrain,3/24/2020,392,3,177
Bahrain,3/25/2020,419,4,177
Bahrain,3/26/2020,458,4,204
Bahrain,3/27/2020,466,4,227
Bahrain,3/28/2020,476,4,265
Bahrain,3/29/2020,499,4,272
Bahrain,3/30/2020,515,4,279
Bahrain,3/31/2020,567,4,295
Bahrain,4/1/2020,569,4,337
Bahrain,4/2/2020,643,4,381
Bahrain,4/3/2020,672,4,382
