Country,StatusDate,Infections,Deaths,Recovery
Bangladesh,3/8/2020,3,0,0
Bangladesh,3/10/2020,3,0,0
Bangladesh,3/15/2020,5,0,0
Bangladesh,3/16/2020,8,0,2
Bangladesh,3/17/2020,10,0,3
Bangladesh,3/18/2020,14,1,3
Bangladesh,3/19/2020,17,1,3
Bangladesh,3/20/2020,20,1,3
Bangladesh,3/21/2020,25,2,3
Bangladesh,3/22/2020,27,2,3
Bangladesh,3/23/2020,33,3,5
Bangladesh,3/24/2020,39,4,5
Bangladesh,3/25/2020,39,5,7
Bangladesh,3/26/2020,44,5,11
Bangladesh,3/27/2020,48,5,11
Bangladesh,3/28/2020,48,5,15
Bangladesh,3/29/2020,48,5,15
Bangladesh,3/30/2020,49,5,19
Bangladesh,3/31/2020,51,5,25
Bangladesh,4/1/2020,54,6,25
Bangladesh,4/2/2020,56,6,25
Bangladesh,4/3/2020,61,6,26
