Country,StatusDate,Infections,Deaths,Recovery
Belarus,2/28/2020,1,0,0
Belarus,3/4/2020,6,0,0
Belarus,3/9/2020,6,0,1
Belarus,3/10/2020,9,0,3
Belarus,3/12/2020,12,0,3
Belarus,3/16/2020,36,0,3
Belarus,3/18/2020,51,0,5
Belarus,3/20/2020,69,0,5
Belarus,3/21/2020,76,0,15
Belarus,3/22/2020,76,0,15
Belarus,3/23/2020,81,0,22
Belarus,3/24/2020,81,0,22
Belarus,3/25/2020,86,0,29
Belarus,3/26/2020,86,0,29
Belarus,3/27/2020,94,0,32
Belarus,3/28/2020,94,0,32
Belarus,3/29/2020,94,0,32
Belarus,3/30/2020,152,0,32
Belarus,3/31/2020,152,1,47
Belarus,4/1/2020,163,2,53
Belarus,4/2/2020,304,4,53
Belarus,4/3/2020,351,4,53
