Country,StatusDate,Infections,Deaths,Recovery
Belgium,2/4/2020,1,0,0
Belgium,2/17/2020,1,0,1
Belgium,3/1/2020,2,0,1
Belgium,3/2/2020,8,0,1
Belgium,3/3/2020,13,0,1
Belgium,3/4/2020,23,0,1
Belgium,3/5/2020,50,0,1
Belgium,3/6/2020,109,0,1
Belgium,3/7/2020,169,0,1
Belgium,3/8/2020,200,0,1
Belgium,3/9/2020,239,0,1
Belgium,3/10/2020,267,0,1
Belgium,3/11/2020,314,3,1
Belgium,3/14/2020,689,4,1
Belgium,3/15/2020,886,4,1
Belgium,3/16/2020,1058,5,1
Belgium,3/17/2020,1243,10,1
Belgium,3/18/2020,1486,14,31
Belgium,3/19/2020,1795,21,31
Belgium,3/20/2020,2257,37,1
Belgium,3/21/2020,2815,67,263
Belgium,3/22/2020,3401,75,263
Belgium,3/23/2020,3743,88,401
Belgium,3/24/2020,4269,122,461
Belgium,3/25/2020,4937,178,547
Belgium,3/26/2020,6235,220,675
Belgium,3/27/2020,7284,289,858
Belgium,3/28/2020,9134,353,1063
Belgium,3/29/2020,10836,431,1359
Belgium,3/30/2020,11899,513,1527
Belgium,3/31/2020,12775,705,1696
Belgium,4/1/2020,13964,828,2132
Belgium,4/2/2020,15348,1011,2495
Belgium,4/3/2020,16770,1143,2872
