Country,StatusDate,Infections,Deaths,Recovery
Bolivia,3/11/2020,2,0,0
Bolivia,3/14/2020,10,0,0
Bolivia,3/16/2020,11,0,0
Bolivia,3/18/2020,12,0,0
Bolivia,3/20/2020,15,0,0
Bolivia,3/21/2020,19,0,0
Bolivia,3/22/2020,24,0,0
Bolivia,3/23/2020,27,0,0
Bolivia,3/24/2020,29,0,0
Bolivia,3/25/2020,32,0,0
Bolivia,3/26/2020,43,0,0
Bolivia,3/27/2020,61,0,0
Bolivia,3/28/2020,74,0,0
Bolivia,3/29/2020,81,1,0
Bolivia,3/30/2020,97,4,0
Bolivia,3/31/2020,107,6,0
Bolivia,4/1/2020,115,7,1
Bolivia,4/2/2020,123,8,1
Bolivia,4/3/2020,132,9,1
