Country,StatusDate,Infections,Deaths,Recovery
Brazil,1/23/2020,0,0,0
Brazil,2/26/2020,1,0,0
Brazil,2/29/2020,2,0,0
Brazil,3/4/2020,4,0,0
Brazil,3/6/2020,13,0,0
Brazil,3/8/2020,20,0,0
Brazil,3/9/2020,25,0,0
Brazil,3/10/2020,31,0,0
Brazil,3/11/2020,38,0,0
Brazil,3/12/2020,52,0,0
Brazil,3/15/2020,162,0,0
Brazil,3/16/2020,200,0,1
Brazil,3/17/2020,321,1,2
Brazil,3/18/2020,372,3,2
Brazil,3/19/2020,621,6,2
Brazil,3/20/2020,793,11,2
Brazil,3/21/2020,1021,15,2
Brazil,3/22/2020,1546,25,2
Brazil,3/23/2020,1924,34,2
Brazil,3/24/2020,2247,46,2
Brazil,3/25/2020,2554,59,2
Brazil,3/26/2020,2985,77,6
Brazil,3/27/2020,3417,92,6
Brazil,3/28/2020,3904,111,6
Brazil,3/29/2020,4256,136,6
Brazil,3/30/2020,4579,159,120
Brazil,3/31/2020,5717,201,127
Brazil,4/1/2020,6836,240,127
Brazil,4/2/2020,8044,324,127
Brazil,4/3/2020,9056,359,127
