Country,StatusDate,Infections,Deaths,Recovery
Brunei,3/9/2020,1,0,0
Brunei,3/10/2020,1,0,0
Brunei,3/11/2020,11,0,0
Brunei,3/14/2020,40,0,0
Brunei,3/15/2020,50,0,0
Brunei,3/16/2020,54,0,0
Brunei,3/17/2020,56,0,0
Brunei,3/18/2020,68,0,0
Brunei,3/19/2020,75,0,0
Brunei,3/20/2020,78,0,1
Brunei,3/21/2020,83,0,2
Brunei,3/22/2020,88,0,2
Brunei,3/23/2020,91,0,2
Brunei,3/24/2020,104,0,2
Brunei,3/25/2020,109,0,2
Brunei,3/26/2020,114,0,5
Brunei,3/27/2020,115,0,11
Brunei,3/28/2020,120,1,25
Brunei,3/29/2020,126,1,34
Brunei,3/30/2020,127,1,38
Brunei,3/31/2020,129,1,45
Brunei,4/1/2020,131,1,52
Brunei,4/2/2020,133,1,56
Brunei,4/3/2020,134,1,65
