Country,StatusDate,Infections,Deaths,Recovery
Bulgaria,3/8/2020,4,0,0
Bulgaria,3/9/2020,4,0,0
Bulgaria,3/11/2020,7,1,0
Bulgaria,3/14/2020,41,2,0
Bulgaria,3/15/2020,51,2,0
Bulgaria,3/16/2020,52,2,0
Bulgaria,3/17/2020,67,2,0
Bulgaria,3/18/2020,92,2,0
Bulgaria,3/19/2020,94,3,0
Bulgaria,3/20/2020,127,3,0
Bulgaria,3/21/2020,163,3,3
Bulgaria,3/22/2020,187,3,3
Bulgaria,3/23/2020,201,3,3
Bulgaria,3/24/2020,218,3,3
Bulgaria,3/25/2020,242,3,4
Bulgaria,3/26/2020,264,3,8
Bulgaria,3/27/2020,293,3,9
Bulgaria,3/28/2020,331,7,11
Bulgaria,3/29/2020,346,8,14
Bulgaria,3/30/2020,359,8,17
Bulgaria,3/31/2020,399,8,17
Bulgaria,4/1/2020,422,10,20
Bulgaria,4/2/2020,457,10,25
Bulgaria,4/3/2020,485,14,30
