Country,StatusDate,Infections,Deaths,Recovery
Burkina Faso,3/10/2020,1,0,0
Burkina Faso,3/11/2020,2,0,0
Burkina Faso,3/16/2020,15,0,0
Burkina Faso,3/18/2020,20,1,0
Burkina Faso,3/19/2020,33,1,0
Burkina Faso,3/20/2020,40,1,0
Burkina Faso,3/21/2020,64,2,5
Burkina Faso,3/22/2020,75,4,5
Burkina Faso,3/23/2020,99,4,5
Burkina Faso,3/24/2020,114,4,7
Burkina Faso,3/25/2020,146,4,10
Burkina Faso,3/26/2020,152,7,10
Burkina Faso,3/27/2020,180,9,12
Burkina Faso,3/28/2020,207,11,21
Burkina Faso,3/29/2020,222,12,23
Burkina Faso,3/30/2020,246,12,31
Burkina Faso,3/31/2020,261,14,32
Burkina Faso,4/1/2020,282,16,46
Burkina Faso,4/2/2020,288,16,50
Burkina Faso,4/3/2020,302,16,50
