Country,StatusDate,Infections,Deaths,Recovery
Cambodia,1/27/2020,1,0,0
Cambodia,1/28/2020,1,0,0
Cambodia,1/29/2020,1,0,0
Cambodia,1/30/2020,1,0,0
Cambodia,1/31/2020,1,0,0
Cambodia,2/12/2020,1,0,1
Cambodia,3/8/2020,2,0,1
Cambodia,3/11/2020,3,0,1
Cambodia,3/14/2020,7,0,1
Cambodia,3/17/2020,33,0,1
Cambodia,3/18/2020,35,0,1
Cambodia,3/19/2020,37,0,1
Cambodia,3/20/2020,51,0,1
Cambodia,3/21/2020,53,0,1
Cambodia,3/22/2020,84,0,2
Cambodia,3/23/2020,87,0,2
Cambodia,3/24/2020,91,0,4
Cambodia,3/25/2020,96,0,10
Cambodia,3/26/2020,96,0,10
Cambodia,3/27/2020,99,0,11
Cambodia,3/28/2020,99,0,13
Cambodia,3/29/2020,103,0,21
Cambodia,3/30/2020,107,0,21
Cambodia,3/31/2020,109,0,23
Cambodia,4/1/2020,109,0,25
Cambodia,4/2/2020,110,0,34
Cambodia,4/3/2020,114,0,35
