Country,StatusDate,Infections,Deaths,Recovery
Cameroon,3/6/2020,1,0,0
Cameroon,3/8/2020,2,0,0
Cameroon,3/16/2020,4,0,0
Cameroon,3/17/2020,10,0,0
Cameroon,3/19/2020,13,0,0
Cameroon,3/20/2020,20,0,0
Cameroon,3/21/2020,27,0,0
Cameroon,3/22/2020,40,0,2
Cameroon,3/23/2020,56,0,2
Cameroon,3/24/2020,66,0,2
Cameroon,3/25/2020,75,1,2
Cameroon,3/26/2020,75,1,2
Cameroon,3/27/2020,91,2,2
Cameroon,3/28/2020,91,2,2
Cameroon,3/29/2020,139,6,5
Cameroon,3/30/2020,139,6,5
Cameroon,3/31/2020,193,6,5
Cameroon,4/1/2020,233,6,10
Cameroon,4/2/2020,306,7,10
Cameroon,4/3/2020,509,8,17
