Country,StatusDate,Infections,Deaths,Recovery
Central African Republic,3/15/2020,1,0,0
Central African Republic,3/16/2020,1,0,0
Central African Republic,3/20/2020,3,0,0
Central African Republic,3/22/2020,3,0,0
Central African Republic,3/23/2020,3,0,0
Central African Republic,3/24/2020,3,0,0
Central African Republic,3/25/2020,3,0,0
Central African Republic,3/26/2020,3,0,0
Central African Republic,3/27/2020,3,0,0
Central African Republic,3/28/2020,3,0,0
Central African Republic,3/29/2020,3,0,0
Central African Republic,3/30/2020,3,0,0
Central African Republic,3/31/2020,3,0,0
Central African Republic,4/1/2020,3,0,0
Central African Republic,4/2/2020,3,0,0
Central African Republic,4/3/2020,8,0,0
