Country,StatusDate,Infections,Deaths,Recovery
Chile,3/3/2020,1,0,0
Chile,3/4/2020,1,0,0
Chile,3/5/2020,4,0,0
Chile,3/8/2020,8,0,0
Chile,3/10/2020,13,0,0
Chile,3/11/2020,23,0,0
Chile,3/14/2020,61,0,0
Chile,3/16/2020,155,0,0
Chile,3/17/2020,201,0,0
Chile,3/18/2020,238,0,0
Chile,3/20/2020,434,0,6
Chile,3/21/2020,537,0,6
Chile,3/22/2020,632,1,8
Chile,3/23/2020,746,2,11
Chile,3/24/2020,922,2,17
Chile,3/25/2020,1142,3,22
Chile,3/26/2020,1306,4,22
Chile,3/27/2020,1610,5,43
Chile,3/28/2020,1909,6,61
Chile,3/29/2020,2139,7,75
Chile,3/30/2020,2449,8,156
Chile,3/31/2020,2738,12,156
Chile,4/1/2020,3031,16,234
Chile,4/2/2020,3404,18,335
Chile,4/3/2020,3737,22,427
