Country,StatusDate,Infections,Deaths,Recovery
China,1/22/2020,547,17,28
China,1/23/2020,639,18,30
China,1/24/2020,916,26,36
China,1/25/2020,1399,42,39
China,1/26/2020,2062,56,49
China,1/27/2020,2863,82,58
China,1/28/2020,5494,131,101
China,1/29/2020,6070,133,120
China,1/30/2020,8124,171,135
China,1/31/2020,9783,213,214
China,2/1/2020,11842,259,273
China,2/2/2020,16606,361,463
China,2/3/2020,19692,425,614
China,2/4/2020,23679,490,843
China,2/5/2020,27374,562,1114
China,2/6/2020,30490,632,1470
China,2/7/2020,34056,717,1995
China,2/8/2020,36759,804,2592
China,2/9/2020,39771,904,3215
China,2/10/2020,42168,1011,3889
China,2/11/2020,44268,1111,4630
China,2/12/2020,44699,1116,5079
China,2/13/2020,59831,1368,6212
China,2/14/2020,66183,1518,7922
China,2/15/2020,68346,1662,9293
China,2/16/2020,70357,1765,10701
China,2/17/2020,72345,1863,12441
China,2/18/2020,74138,2002,14198
China,2/19/2020,74545,2114,15951
China,2/20/2020,74980,2236,17985
China,2/21/2020,75471,2236,18692
China,2/22/2020,76741,2439,22544
China,2/23/2020,77166,2443,23398
China,2/24/2020,76987,2591,24869
China,2/25/2020,77474,2659,27521
China,2/26/2020,77900,2713,29930
China,2/28/2020,78330,2782,35897
China,2/29/2020,78995,2831,39066
China,3/1/2020,79588,2868,41918
China,3/2/2020,79749,2908,44577
China,3/3/2020,79574,2941,46903
China,3/4/2020,79538,2973,49299
China,3/5/2020,79465,3000,51466
China,3/6/2020,79771,3029,53172
China,3/7/2020,78619,3051,53511
China,3/8/2020,93313,3201,69855
China,3/9/2020,76902,3071,55004
China,3/10/2020,77201,3088,56620
China,3/11/2020,80921,3161,61644
China,3/12/2020,78096,3138,60146
China,3/14/2020,89071,3227,73747
China,3/15/2020,73594,3134,59745
China,3/16/2020,75975,3180,62942
China,3/17/2020,73937,3166,61788
China,3/18/2020,73886,3195,62655
China,3/19/2020,73834,3186,63291
China,3/20/2020,77325,3215,67370
China,3/21/2020,74098,3185,64731
China,3/22/2020,77772,3221,68769
China,3/23/2020,90091,3359,81315
China,3/24/2020,76978,3294,68698
China,3/25/2020,76062,3214,68245
China,3/26/2020,82309,3370,74558
China,3/27/2020,77596,3236,70482
China,3/28/2020,74444,3235,67634
China,3/29/2020,87780,3401,81105
China,3/30/2020,80898,3248,74678
China,3/31/2020,78006,3238,71943
China,4/1/2020,74328,3254,68387
China,4/2/2020,78619,3274,72929
China,4/3/2020,76157,3266,70559
