Country,StatusDate,Infections,Deaths,Recovery
Colombia,1/23/2020,0,0,0
Colombia,3/6/2020,1,0,0
Colombia,3/7/2020,1,0,0
Colombia,3/10/2020,3,0,0
Colombia,3/11/2020,9,0,0
Colombia,3/14/2020,22,0,0
Colombia,3/15/2020,34,0,0
Colombia,3/16/2020,54,0,0
Colombia,3/17/2020,65,0,1
Colombia,3/18/2020,93,0,1
Colombia,3/19/2020,102,0,1
Colombia,3/20/2020,128,0,1
Colombia,3/21/2020,196,0,1
Colombia,3/22/2020,231,2,3
Colombia,3/23/2020,277,3,3
Colombia,3/24/2020,378,3,6
Colombia,3/25/2020,470,4,8
Colombia,3/26/2020,491,6,8
Colombia,3/27/2020,539,6,10
Colombia,3/28/2020,608,6,10
Colombia,3/29/2020,702,10,10
Colombia,3/30/2020,798,12,15
Colombia,3/31/2020,906,16,31
Colombia,4/1/2020,1065,17,39
Colombia,4/2/2020,1161,19,55
Colombia,4/3/2020,1267,25,55
