Country,StatusDate,Infections,Deaths,Recovery
Congo (Brazzaville),3/15/2020,1,0,0
Congo (Brazzaville),3/16/2020,1,0,0
Congo (Brazzaville),3/19/2020,3,0,0
Congo (Brazzaville),3/22/2020,3,0,0
Congo (Brazzaville),3/23/2020,4,0,0
Congo (Brazzaville),3/24/2020,4,0,0
Congo (Brazzaville),3/25/2020,4,0,0
Congo (Brazzaville),3/26/2020,4,0,0
Congo (Brazzaville),3/27/2020,4,0,0
Congo (Brazzaville),3/28/2020,4,0,0
Congo (Brazzaville),3/29/2020,19,0,0
Congo (Brazzaville),3/30/2020,19,0,0
Congo (Brazzaville),3/31/2020,19,0,0
Congo (Brazzaville),4/1/2020,19,0,0
Congo (Brazzaville),4/2/2020,22,2,2
Congo (Brazzaville),4/3/2020,22,2,2
