Country,StatusDate,Infections,Deaths,Recovery
Congo (Kinshasa),3/11/2020,1,0,0
Congo (Kinshasa),3/17/2020,3,0,0
Congo (Kinshasa),3/18/2020,4,0,0
Congo (Kinshasa),3/19/2020,14,0,0
Congo (Kinshasa),3/20/2020,18,0,0
Congo (Kinshasa),3/21/2020,23,1,0
Congo (Kinshasa),3/22/2020,30,1,0
Congo (Kinshasa),3/23/2020,36,1,0
Congo (Kinshasa),3/24/2020,45,2,0
Congo (Kinshasa),3/25/2020,48,2,0
Congo (Kinshasa),3/26/2020,51,3,0
Congo (Kinshasa),3/27/2020,51,3,2
Congo (Kinshasa),3/28/2020,65,6,2
Congo (Kinshasa),3/29/2020,65,6,2
Congo (Kinshasa),3/30/2020,81,8,2
Congo (Kinshasa),3/31/2020,98,8,2
Congo (Kinshasa),4/1/2020,109,9,3
Congo (Kinshasa),4/2/2020,134,13,3
Congo (Kinshasa),4/3/2020,134,13,3
