Country,StatusDate,Infections,Deaths,Recovery
Costa Rica,3/6/2020,1,0,0
Costa Rica,3/7/2020,1,0,0
Costa Rica,3/8/2020,5,0,0
Costa Rica,3/9/2020,9,0,0
Costa Rica,3/11/2020,13,0,0
Costa Rica,3/12/2020,22,0,0
Costa Rica,3/14/2020,26,0,0
Costa Rica,3/15/2020,27,0,0
Costa Rica,3/16/2020,35,0,0
Costa Rica,3/17/2020,41,0,0
Costa Rica,3/18/2020,50,0,0
Costa Rica,3/19/2020,69,1,0
Costa Rica,3/20/2020,89,1,0
Costa Rica,3/21/2020,117,2,2
Costa Rica,3/22/2020,134,2,2
Costa Rica,3/23/2020,158,2,2
Costa Rica,3/24/2020,177,2,2
Costa Rica,3/25/2020,201,2,2
Costa Rica,3/26/2020,231,2,2
Costa Rica,3/27/2020,263,2,3
Costa Rica,3/28/2020,295,2,3
Costa Rica,3/29/2020,314,2,3
Costa Rica,3/30/2020,330,2,4
Costa Rica,3/31/2020,347,2,4
Costa Rica,4/1/2020,375,2,4
Costa Rica,4/2/2020,396,2,6
Costa Rica,4/3/2020,416,2,11
