Country,StatusDate,Infections,Deaths,Recovery
Cote d'Ivoire,3/11/2020,1,0,0
Cote d'Ivoire,3/12/2020,1,0,0
Cote d'Ivoire,3/17/2020,5,0,1
Cote d'Ivoire,3/18/2020,6,0,1
Cote d'Ivoire,3/19/2020,9,0,1
Cote d'Ivoire,3/21/2020,14,0,1
Cote d'Ivoire,3/22/2020,14,0,1
Cote d'Ivoire,3/23/2020,25,0,2
Cote d'Ivoire,3/24/2020,73,0,2
Cote d'Ivoire,3/25/2020,80,0,3
Cote d'Ivoire,3/26/2020,96,0,3
Cote d'Ivoire,3/27/2020,101,0,3
Cote d'Ivoire,3/28/2020,101,0,3
Cote d'Ivoire,3/29/2020,165,1,4
Cote d'Ivoire,3/30/2020,168,1,6
Cote d'Ivoire,3/31/2020,179,1,7
Cote d'Ivoire,4/1/2020,190,1,9
Cote d'Ivoire,4/2/2020,194,1,15
Cote d'Ivoire,4/3/2020,218,1,19
