Country,StatusDate,Infections,Deaths,Recovery
Croatia,2/25/2020,1,0,0
Croatia,2/26/2020,3,0,0
Croatia,2/28/2020,5,0,0
Croatia,2/29/2020,6,0,0
Croatia,3/1/2020,7,0,0
Croatia,3/3/2020,9,0,0
Croatia,3/4/2020,10,0,0
Croatia,3/6/2020,11,0,0
Croatia,3/7/2020,12,0,0
Croatia,3/10/2020,14,0,0
Croatia,3/11/2020,19,0,0
Croatia,3/14/2020,38,0,1
Croatia,3/15/2020,49,0,1
Croatia,3/16/2020,57,0,2
Croatia,3/17/2020,65,0,4
Croatia,3/18/2020,81,0,4
Croatia,3/19/2020,105,1,5
Croatia,3/20/2020,128,1,5
Croatia,3/21/2020,206,1,5
Croatia,3/22/2020,254,1,5
Croatia,3/23/2020,315,1,5
Croatia,3/24/2020,382,1,5
Croatia,3/25/2020,442,1,22
Croatia,3/26/2020,495,3,22
Croatia,3/27/2020,586,3,37
Croatia,3/28/2020,657,5,45
Croatia,3/29/2020,713,6,52
Croatia,3/30/2020,790,6,67
Croatia,3/31/2020,867,6,67
Croatia,4/1/2020,963,6,73
Croatia,4/2/2020,1011,7,88
Croatia,4/3/2020,1079,8,92
