Country,StatusDate,Infections,Deaths,Recovery
Cyprus,3/9/2020,2,0,0
Cyprus,3/10/2020,3,0,0
Cyprus,3/11/2020,6,0,0
Cyprus,3/14/2020,26,0,0
Cyprus,3/16/2020,33,0,0
Cyprus,3/17/2020,46,0,0
Cyprus,3/18/2020,49,0,0
Cyprus,3/19/2020,67,0,0
Cyprus,3/21/2020,84,0,0
Cyprus,3/22/2020,95,1,3
Cyprus,3/23/2020,116,1,3
Cyprus,3/24/2020,124,3,3
Cyprus,3/25/2020,132,3,3
Cyprus,3/26/2020,146,3,4
Cyprus,3/27/2020,162,5,15
Cyprus,3/28/2020,179,5,15
Cyprus,3/29/2020,214,5,15
Cyprus,3/30/2020,230,7,22
Cyprus,3/31/2020,262,8,23
Cyprus,4/1/2020,320,9,28
Cyprus,4/2/2020,356,10,28
Cyprus,4/3/2020,396,11,28
