Country,StatusDate,Infections,Deaths,Recovery
Czechia,3/11/2020,91,0,0
Czechia,3/12/2020,94,0,0
Czechia,3/14/2020,189,0,0
Czechia,3/15/2020,253,0,0
Czechia,3/16/2020,298,0,3
Czechia,3/17/2020,396,0,3
Czechia,3/18/2020,464,0,3
Czechia,3/19/2020,694,0,3
Czechia,3/20/2020,833,0,4
Czechia,3/21/2020,995,0,6
Czechia,3/22/2020,1120,1,6
Czechia,3/23/2020,1236,1,7
Czechia,3/24/2020,1394,3,10
Czechia,3/25/2020,1654,6,10
Czechia,3/26/2020,1925,9,10
Czechia,3/27/2020,2279,9,11
Czechia,3/28/2020,2631,11,11
Czechia,3/29/2020,2817,16,11
Czechia,3/30/2020,3001,23,25
Czechia,3/31/2020,3308,31,45
Czechia,4/1/2020,3508,39,61
Czechia,4/2/2020,3858,44,67
Czechia,4/3/2020,4091,53,72
