Country,StatusDate,Infections,Deaths,Recovery
Denmark,2/29/2020,3,0,0
Denmark,3/1/2020,4,0,0
Denmark,3/3/2020,6,0,0
Denmark,3/4/2020,10,0,0
Denmark,3/6/2020,23,0,1
Denmark,3/8/2020,35,0,1
Denmark,3/9/2020,90,0,1
Denmark,3/10/2020,262,0,1
Denmark,3/11/2020,444,0,1
Denmark,3/12/2020,615,0,1
Denmark,3/14/2020,836,1,1
Denmark,3/15/2020,875,2,1
Denmark,3/16/2020,932,3,1
Denmark,3/17/2020,1024,4,1
Denmark,3/18/2020,1115,4,1
Denmark,3/19/2020,1225,6,1
Denmark,3/20/2020,1335,9,1
Denmark,3/21/2020,1418,13,1
Denmark,3/22/2020,1514,13,4
Denmark,3/23/2020,1572,24,24
Denmark,3/24/2020,1718,32,36
Denmark,3/25/2020,1862,34,41
Denmark,3/26/2020,2023,41,50
Denmark,3/27/2020,2200,52,57
Denmark,3/28/2020,2366,65,57
Denmark,3/29/2020,2564,72,73
Denmark,3/30/2020,2755,77,73
Denmark,3/31/2020,3039,90,77
Denmark,4/1/2020,3290,104,971
Denmark,4/2/2020,3573,123,1172
Denmark,4/3/2020,3946,139,1287
