Country,StatusDate,Infections,Deaths,Recovery
Dominican Republic,3/1/2020,1,0,0
Dominican Republic,3/2/2020,1,0,0
Dominican Republic,3/6/2020,2,0,0
Dominican Republic,3/8/2020,5,0,0
Dominican Republic,3/14/2020,11,0,0
Dominican Republic,3/17/2020,21,1,0
Dominican Republic,3/19/2020,34,2,0
Dominican Republic,3/20/2020,72,2,0
Dominican Republic,3/21/2020,112,2,0
Dominican Republic,3/22/2020,202,3,0
Dominican Republic,3/23/2020,245,3,3
Dominican Republic,3/24/2020,312,6,3
Dominican Republic,3/25/2020,392,10,3
Dominican Republic,3/26/2020,488,10,3
Dominican Republic,3/27/2020,581,20,3
Dominican Republic,3/28/2020,719,28,3
Dominican Republic,3/29/2020,859,39,3
Dominican Republic,3/30/2020,901,42,4
Dominican Republic,3/31/2020,1109,51,5
Dominican Republic,4/1/2020,1284,57,9
Dominican Republic,4/2/2020,1380,60,16
Dominican Republic,4/3/2020,1488,68,16
