Country,StatusDate,Infections,Deaths,Recovery
Ecuador,3/1/2020,6,0,0
Ecuador,3/3/2020,7,0,0
Ecuador,3/4/2020,10,0,0
Ecuador,3/5/2020,13,0,0
Ecuador,3/8/2020,14,0,0
Ecuador,3/9/2020,15,0,0
Ecuador,3/11/2020,17,0,0
Ecuador,3/14/2020,28,2,0
Ecuador,3/16/2020,37,2,0
Ecuador,3/17/2020,58,2,0
Ecuador,3/18/2020,111,2,0
Ecuador,3/19/2020,199,3,0
Ecuador,3/20/2020,367,5,0
Ecuador,3/21/2020,506,7,3
Ecuador,3/22/2020,789,14,3
Ecuador,3/23/2020,981,18,3
Ecuador,3/24/2020,1082,27,3
Ecuador,3/25/2020,1173,28,3
Ecuador,3/26/2020,1403,34,3
Ecuador,3/27/2020,1595,36,3
Ecuador,3/28/2020,1823,48,3
Ecuador,3/29/2020,1924,58,3
Ecuador,3/30/2020,1962,60,3
Ecuador,3/31/2020,2240,75,54
Ecuador,4/1/2020,2748,93,58
Ecuador,4/2/2020,3163,120,65
Ecuador,4/3/2020,3368,145,65
