Country,StatusDate,Infections,Deaths,Recovery
Egypt,2/14/2020,1,0,0
Egypt,2/21/2020,1,0,0
Egypt,2/28/2020,1,0,1
Egypt,3/1/2020,2,0,1
Egypt,3/5/2020,3,0,1
Egypt,3/6/2020,15,0,1
Egypt,3/8/2020,49,1,1
Egypt,3/9/2020,55,1,12
Egypt,3/10/2020,59,1,1
Egypt,3/11/2020,60,1,27
Egypt,3/12/2020,67,1,27
Egypt,3/14/2020,109,2,27
Egypt,3/15/2020,110,2,21
Egypt,3/16/2020,150,2,27
Egypt,3/17/2020,196,4,32
Egypt,3/18/2020,196,6,32
Egypt,3/19/2020,256,6,32
Egypt,3/20/2020,285,8,39
Egypt,3/21/2020,294,10,41
Egypt,3/22/2020,327,14,56
Egypt,3/23/2020,366,19,68
Egypt,3/24/2020,402,20,80
Egypt,3/25/2020,456,21,95
Egypt,3/26/2020,495,24,102
Egypt,3/27/2020,536,30,116
Egypt,3/28/2020,576,36,121
Egypt,3/29/2020,609,40,132
Egypt,3/30/2020,656,41,150
Egypt,3/31/2020,710,46,157
Egypt,4/1/2020,779,52,179
Egypt,4/2/2020,865,58,201
Egypt,4/3/2020,985,66,216
