Country,StatusDate,Infections,Deaths,Recovery
Equatorial Guinea,3/15/2020,1,0,0
Equatorial Guinea,3/18/2020,4,0,0
Equatorial Guinea,3/19/2020,6,0,0
Equatorial Guinea,3/22/2020,6,0,0
Equatorial Guinea,3/23/2020,9,0,0
Equatorial Guinea,3/24/2020,9,0,0
Equatorial Guinea,3/25/2020,9,0,0
Equatorial Guinea,3/26/2020,12,0,0
Equatorial Guinea,3/27/2020,12,0,0
Equatorial Guinea,3/28/2020,12,0,0
Equatorial Guinea,3/29/2020,12,0,0
Equatorial Guinea,3/30/2020,12,0,0
Equatorial Guinea,3/31/2020,12,0,1
Equatorial Guinea,4/1/2020,15,0,1
Equatorial Guinea,4/2/2020,15,0,1
Equatorial Guinea,4/3/2020,16,0,1
