Country,StatusDate,Infections,Deaths,Recovery
Estonia,3/3/2020,2,0,0
Estonia,3/5/2020,3,0,0
Estonia,3/6/2020,10,0,0
Estonia,3/10/2020,12,0,0
Estonia,3/11/2020,16,0,0
Estonia,3/14/2020,115,0,0
Estonia,3/15/2020,171,0,1
Estonia,3/16/2020,205,0,1
Estonia,3/17/2020,225,0,1
Estonia,3/18/2020,258,0,1
Estonia,3/19/2020,267,0,1
Estonia,3/20/2020,283,0,1
Estonia,3/21/2020,306,0,1
Estonia,3/22/2020,326,0,4
Estonia,3/23/2020,352,0,4
Estonia,3/24/2020,369,0,7
Estonia,3/25/2020,404,1,8
Estonia,3/26/2020,538,1,8
Estonia,3/27/2020,575,1,11
Estonia,3/28/2020,645,1,20
Estonia,3/29/2020,679,3,20
Estonia,3/30/2020,715,3,20
Estonia,3/31/2020,745,4,26
Estonia,4/1/2020,779,5,33
Estonia,4/2/2020,858,11,45
Estonia,4/3/2020,961,12,48
