Country,StatusDate,Infections,Deaths,Recovery
Finland,1/29/2020,1,0,0
Finland,1/30/2020,1,0,0
Finland,1/31/2020,1,0,0
Finland,2/12/2020,1,0,1
Finland,2/26/2020,2,0,1
Finland,2/29/2020,3,0,1
Finland,3/1/2020,6,0,1
Finland,3/5/2020,12,0,1
Finland,3/6/2020,15,0,1
Finland,3/8/2020,23,0,1
Finland,3/9/2020,30,0,1
Finland,3/10/2020,40,0,1
Finland,3/11/2020,59,0,1
Finland,3/14/2020,225,0,1
Finland,3/15/2020,244,0,10
Finland,3/16/2020,277,0,10
Finland,3/17/2020,321,0,10
Finland,3/18/2020,336,0,10
Finland,3/19/2020,400,0,10
Finland,3/20/2020,450,0,10
Finland,3/21/2020,523,1,10
Finland,3/22/2020,626,1,10
Finland,3/23/2020,700,1,10
Finland,3/24/2020,792,1,10
Finland,3/25/2020,880,3,10
Finland,3/26/2020,958,5,10
Finland,3/27/2020,1041,7,10
Finland,3/28/2020,1167,9,10
Finland,3/29/2020,1240,11,10
Finland,3/30/2020,1352,13,10
Finland,3/31/2020,1418,17,10
Finland,4/1/2020,1446,17,10
Finland,4/2/2020,1518,19,300
Finland,4/3/2020,1615,20,300
