Country,StatusDate,Infections,Deaths,Recovery
Georgia,2/26/2020,1,0,0
Georgia,3/1/2020,3,0,0
Georgia,3/5/2020,4,0,0
Georgia,3/8/2020,13,0,0
Georgia,3/9/2020,15,0,0
Georgia,3/11/2020,24,0,0
Georgia,3/14/2020,30,0,0
Georgia,3/16/2020,33,0,1
Georgia,3/17/2020,34,0,1
Georgia,3/18/2020,38,0,1
Georgia,3/19/2020,40,0,1
Georgia,3/20/2020,43,0,1
Georgia,3/21/2020,49,0,1
Georgia,3/22/2020,54,0,1
Georgia,3/23/2020,61,0,8
Georgia,3/24/2020,70,0,9
Georgia,3/25/2020,75,0,10
Georgia,3/26/2020,79,0,11
Georgia,3/27/2020,83,0,14
Georgia,3/28/2020,90,0,14
Georgia,3/29/2020,91,0,18
Georgia,3/30/2020,103,0,20
Georgia,3/31/2020,110,0,21
Georgia,4/1/2020,117,0,23
Georgia,4/2/2020,134,0,26
Georgia,4/3/2020,155,0,28
