Country,StatusDate,Infections,Deaths,Recovery
Germany,1/28/2020,4,0,0
Germany,1/29/2020,4,0,0
Germany,1/30/2020,4,0,0
Germany,1/31/2020,5,0,0
Germany,2/1/2020,8,0,0
Germany,2/2/2020,10,0,0
Germany,2/3/2020,12,0,0
Germany,2/7/2020,13,0,0
Germany,2/9/2020,14,0,0
Germany,2/11/2020,16,0,0
Germany,2/13/2020,16,0,1
Germany,2/18/2020,16,0,12
Germany,2/21/2020,16,0,14
Germany,2/25/2020,17,0,14
Germany,2/26/2020,27,0,15
Germany,2/28/2020,48,0,16
Germany,2/29/2020,79,0,16
Germany,3/1/2020,130,0,16
Germany,3/2/2020,159,0,16
Germany,3/3/2020,196,0,16
Germany,3/4/2020,262,0,16
Germany,3/5/2020,482,0,16
Germany,3/6/2020,670,0,17
Germany,3/7/2020,799,0,18
Germany,3/8/2020,1040,0,18
Germany,3/9/2020,1176,2,18
Germany,3/10/2020,1457,2,18
Germany,3/11/2020,1908,3,25
Germany,3/12/2020,2078,3,25
Germany,3/14/2020,4585,9,46
Germany,3/15/2020,5795,11,46
Germany,3/16/2020,7272,17,67
Germany,3/17/2020,9257,24,67
Germany,3/18/2020,12327,28,105
Germany,3/19/2020,15320,44,113
Germany,3/20/2020,19848,67,180
Germany,3/21/2020,22213,84,233
Germany,3/22/2020,24873,94,266
Germany,3/23/2020,29056,123,453
Germany,3/24/2020,32986,157,3243
Germany,3/25/2020,37323,206,3547
Germany,3/26/2020,43938,267,5673
Germany,3/27/2020,50871,342,6658
Germany,3/28/2020,57695,433,8481
Germany,3/29/2020,62095,533,9211
Germany,3/30/2020,66885,645,13500
Germany,3/31/2020,71808,775,16100
Germany,4/1/2020,77872,920,18700
Germany,4/2/2020,84794,1107,22440
Germany,4/3/2020,91159,1275,24575
