Country,StatusDate,Infections,Deaths,Recovery
Greece,2/26/2020,1,0,0
Greece,2/28/2020,4,0,0
Greece,3/1/2020,7,0,0
Greece,3/4/2020,9,0,0
Greece,3/5/2020,31,0,0
Greece,3/6/2020,45,0,0
Greece,3/7/2020,46,0,0
Greece,3/8/2020,73,0,0
Greece,3/10/2020,89,0,0
Greece,3/11/2020,99,1,0
Greece,3/14/2020,228,3,8
Greece,3/15/2020,331,4,8
Greece,3/16/2020,331,4,8
Greece,3/17/2020,387,5,8
Greece,3/18/2020,418,5,8
Greece,3/19/2020,418,6,8
Greece,3/20/2020,495,6,19
Greece,3/21/2020,530,13,19
Greece,3/22/2020,624,15,19
Greece,3/23/2020,695,17,29
Greece,3/24/2020,743,20,29
Greece,3/25/2020,821,22,36
Greece,3/26/2020,892,26,36
Greece,3/27/2020,966,28,52
Greece,3/28/2020,1061,32,52
Greece,3/29/2020,1156,38,52
Greece,3/30/2020,1212,43,52
Greece,3/31/2020,1314,49,52
Greece,4/1/2020,1415,50,52
Greece,4/2/2020,1544,53,61
Greece,4/3/2020,1613,63,78
