Country,StatusDate,Infections,Deaths,Recovery
Guatemala,3/14/2020,1,0,0
Guatemala,3/16/2020,2,1,0
Guatemala,3/17/2020,6,1,0
Guatemala,3/19/2020,9,1,0
Guatemala,3/20/2020,12,1,0
Guatemala,3/21/2020,17,1,0
Guatemala,3/22/2020,19,1,0
Guatemala,3/23/2020,20,1,0
Guatemala,3/24/2020,21,1,0
Guatemala,3/25/2020,24,1,4
Guatemala,3/26/2020,25,1,4
Guatemala,3/27/2020,28,1,4
Guatemala,3/28/2020,34,1,10
Guatemala,3/29/2020,34,1,10
Guatemala,3/30/2020,36,1,10
Guatemala,3/31/2020,38,1,12
Guatemala,4/1/2020,39,1,12
Guatemala,4/2/2020,47,1,12
Guatemala,4/3/2020,50,1,12
