Country,StatusDate,Infections,Deaths,Recovery
Honduras,3/11/2020,2,0,0
Honduras,3/15/2020,3,0,0
Honduras,3/16/2020,6,0,0
Honduras,3/17/2020,8,0,0
Honduras,3/18/2020,9,0,0
Honduras,3/19/2020,12,0,0
Honduras,3/20/2020,24,0,0
Honduras,3/22/2020,26,0,0
Honduras,3/23/2020,27,0,0
Honduras,3/24/2020,30,0,0
Honduras,3/25/2020,36,0,0
Honduras,3/26/2020,52,1,0
Honduras,3/27/2020,68,1,0
Honduras,3/28/2020,95,1,3
Honduras,3/29/2020,110,3,3
Honduras,3/30/2020,139,7,3
Honduras,3/31/2020,141,7,3
Honduras,4/1/2020,172,10,3
Honduras,4/2/2020,219,14,3
Honduras,4/3/2020,222,15,3
