Country,StatusDate,Infections,Deaths,Recovery
Hong Kong,1/22/2020,0,0,0
Hong Kong,1/23/2020,2,0,0
Hong Kong,1/24/2020,2,0,0
Hong Kong,1/25/2020,5,0,0
Hong Kong,1/26/2020,8,0,0
Hong Kong,1/27/2020,8,0,0
Hong Kong,1/28/2020,8,0,0
Hong Kong,1/29/2020,10,0,0
Hong Kong,1/30/2020,10,0,0
Hong Kong,1/31/2020,12,0,0
Hong Kong,2/1/2020,13,0,0
Hong Kong,2/2/2020,15,0,0
Hong Kong,2/4/2020,17,1,0
Hong Kong,2/5/2020,21,1,0
Hong Kong,2/6/2020,24,1,0
Hong Kong,2/7/2020,25,1,0
Hong Kong,2/8/2020,26,1,0
Hong Kong,2/9/2020,29,1,0
Hong Kong,2/10/2020,38,1,0
Hong Kong,2/11/2020,49,1,0
Hong Kong,2/12/2020,50,1,1
Hong Kong,2/13/2020,53,1,1
Hong Kong,2/14/2020,56,1,1
Hong Kong,2/16/2020,57,1,2
Hong Kong,2/17/2020,60,1,2
Hong Kong,2/18/2020,62,1,2
Hong Kong,2/19/2020,63,2,5
Hong Kong,2/20/2020,68,2,6
Hong Kong,2/21/2020,68,2,5
Hong Kong,2/22/2020,69,2,6
Hong Kong,2/23/2020,74,2,11
Hong Kong,2/24/2020,79,2,19
Hong Kong,2/25/2020,84,2,19
Hong Kong,2/26/2020,91,2,24
Hong Kong,2/28/2020,94,2,30
Hong Kong,2/29/2020,95,2,33
Hong Kong,3/1/2020,96,2,36
Hong Kong,3/2/2020,100,2,36
Hong Kong,3/3/2020,100,2,37
Hong Kong,3/4/2020,105,2,37
Hong Kong,3/5/2020,105,2,43
Hong Kong,3/6/2020,107,2,46
Hong Kong,3/7/2020,108,2,51
Hong Kong,3/8/2020,114,3,58
Hong Kong,3/9/2020,115,3,59
Hong Kong,3/10/2020,120,3,65
