Country,StatusDate,Infections,Deaths,Recovery
Hungary,3/4/2020,2,0,0
Hungary,3/5/2020,2,0,0
Hungary,3/7/2020,4,0,0
Hungary,3/8/2020,7,0,0
Hungary,3/9/2020,9,0,0
Hungary,3/11/2020,13,0,0
Hungary,3/14/2020,30,0,1
Hungary,3/15/2020,32,1,1
Hungary,3/16/2020,39,1,1
Hungary,3/17/2020,50,1,2
Hungary,3/18/2020,58,1,2
Hungary,3/19/2020,73,1,2
Hungary,3/20/2020,85,3,2
Hungary,3/21/2020,103,4,7
Hungary,3/22/2020,131,6,16
Hungary,3/23/2020,167,7,16
Hungary,3/24/2020,187,9,21
Hungary,3/25/2020,226,10,21
Hungary,3/26/2020,261,10,28
Hungary,3/27/2020,300,10,34
Hungary,3/28/2020,343,11,34
Hungary,3/29/2020,408,13,34
Hungary,3/30/2020,447,15,34
Hungary,3/31/2020,492,16,37
Hungary,4/1/2020,525,20,40
Hungary,4/2/2020,585,21,42
Hungary,4/3/2020,623,26,43
