Country,StatusDate,Infections,Deaths,Recovery
Iceland,2/28/2020,1,0,0
Iceland,2/29/2020,1,0,0
Iceland,3/1/2020,3,0,0
Iceland,3/2/2020,6,0,0
Iceland,3/3/2020,11,0,0
Iceland,3/4/2020,26,0,0
Iceland,3/5/2020,34,0,0
Iceland,3/6/2020,43,0,0
Iceland,3/7/2020,50,0,0
Iceland,3/9/2020,58,0,0
Iceland,3/10/2020,69,0,1
Iceland,3/11/2020,85,0,1
Iceland,3/12/2020,103,0,1
Iceland,3/14/2020,156,0,1
Iceland,3/15/2020,171,5,8
Iceland,3/16/2020,180,0,0
Iceland,3/17/2020,220,1,0
Iceland,3/18/2020,250,1,5
Iceland,3/19/2020,330,1,5
Iceland,3/20/2020,409,0,5
Iceland,3/21/2020,473,1,22
Iceland,3/22/2020,568,1,5
Iceland,3/23/2020,588,1,51
Iceland,3/24/2020,648,2,51
Iceland,3/25/2020,737,2,56
Iceland,3/26/2020,802,2,82
Iceland,3/27/2020,890,2,97
Iceland,3/28/2020,963,2,114
Iceland,3/29/2020,1020,2,135
Iceland,3/30/2020,1086,2,157
Iceland,3/31/2020,1135,2,198
Iceland,4/1/2020,1220,2,225
Iceland,4/2/2020,1319,4,284
Iceland,4/3/2020,1364,4,309
