Country,StatusDate,Infections,Deaths,Recovery
India,1/30/2020,1,0,0
India,1/31/2020,1,0,0
India,2/2/2020,2,0,0
India,2/3/2020,3,0,0
India,2/13/2020,3,0,0
India,2/16/2020,3,0,3
India,3/2/2020,5,0,3
India,3/4/2020,28,0,3
India,3/5/2020,30,0,3
India,3/6/2020,31,0,3
India,3/7/2020,34,0,3
India,3/8/2020,39,0,3
India,3/9/2020,43,0,3
India,3/10/2020,56,0,4
India,3/11/2020,62,1,4
India,3/12/2020,73,1,4
India,3/14/2020,102,2,4
India,3/15/2020,113,2,13
India,3/16/2020,119,2,13
India,3/17/2020,142,3,14
India,3/18/2020,156,3,14
India,3/19/2020,194,4,15
India,3/20/2020,244,5,20
India,3/21/2020,330,4,23
India,3/22/2020,396,7,24
India,3/23/2020,499,10,34
India,3/24/2020,536,10,40
India,3/25/2020,657,12,43
India,3/26/2020,727,20,45
India,3/27/2020,887,20,73
India,3/28/2020,987,24,84
India,3/29/2020,1024,27,95
India,3/30/2020,1251,32,102
India,3/31/2020,1397,35,123
India,4/1/2020,1998,58,148
India,4/2/2020,2543,72,191
India,4/3/2020,2567,72,192
