Country,StatusDate,Infections,Deaths,Recovery
Indonesia,3/2/2020,2,0,0
Indonesia,3/6/2020,4,0,0
Indonesia,3/8/2020,6,0,0
Indonesia,3/9/2020,19,0,0
Indonesia,3/10/2020,27,0,2
Indonesia,3/11/2020,34,1,2
Indonesia,3/14/2020,96,5,8
Indonesia,3/15/2020,117,5,8
Indonesia,3/16/2020,134,5,8
Indonesia,3/17/2020,172,5,8
Indonesia,3/18/2020,227,19,11
Indonesia,3/19/2020,311,25,11
Indonesia,3/20/2020,369,32,15
Indonesia,3/21/2020,450,38,15
Indonesia,3/22/2020,514,48,29
Indonesia,3/23/2020,579,49,30
Indonesia,3/24/2020,686,55,30
Indonesia,3/25/2020,790,58,31
Indonesia,3/26/2020,893,78,35
Indonesia,3/27/2020,1046,87,46
Indonesia,3/28/2020,1155,102,59
Indonesia,3/29/2020,1285,114,64
Indonesia,3/30/2020,1414,122,75
Indonesia,3/31/2020,1528,136,81
Indonesia,4/1/2020,1677,157,103
Indonesia,4/2/2020,1790,170,112
Indonesia,4/3/2020,1986,181,134
