Country,StatusDate,Infections,Deaths,Recovery
Iran,2/19/2020,2,2,0
Iran,2/20/2020,5,2,0
Iran,2/21/2020,18,4,0
Iran,2/22/2020,28,5,0
Iran,2/23/2020,43,8,0
Iran,2/24/2020,61,12,0
Iran,2/25/2020,95,16,0
Iran,2/26/2020,139,19,49
Iran,2/28/2020,388,34,73
Iran,2/29/2020,593,43,123
Iran,3/1/2020,978,54,175
Iran,3/2/2020,1501,66,291
Iran,3/3/2020,2336,77,291
Iran,3/4/2020,2922,92,552
Iran,3/5/2020,3513,107,739
Iran,3/6/2020,4747,124,913
Iran,3/7/2020,5823,145,1669
Iran,3/8/2020,6566,194,2134
Iran,3/9/2020,7161,237,2394
Iran,3/11/2020,9000,354,2959
Iran,3/12/2020,10075,429,2959
Iran,3/14/2020,12729,611,2959
Iran,3/15/2020,13938,724,4590
Iran,3/16/2020,14991,853,4590
Iran,3/17/2020,16169,988,5389
Iran,3/18/2020,17361,1135,5389
Iran,3/19/2020,18407,1284,5710
Iran,3/20/2020,19644,1433,6745
Iran,3/21/2020,20610,1556,7635
Iran,3/22/2020,21638,1685,7635
Iran,3/23/2020,23049,1812,8376
Iran,3/24/2020,24811,1934,8913
Iran,3/25/2020,27017,2077,9625
Iran,3/26/2020,29406,2234,10457
Iran,3/27/2020,32332,2378,11133
Iran,3/28/2020,35408,2517,11679
Iran,3/29/2020,38309,2640,12391
Iran,3/30/2020,41495,2757,13911
Iran,3/31/2020,44605,2898,14656
Iran,4/1/2020,47593,3036,15473
Iran,4/2/2020,50468,3160,16711
Iran,4/3/2020,53183,3294,17935
