Country,StatusDate,Infections,Deaths,Recovery
Iraq,2/23/2020,0,0,0
Iraq,2/24/2020,1,0,0
Iraq,2/26/2020,5,0,0
Iraq,2/29/2020,13,0,0
Iraq,3/1/2020,19,0,0
Iraq,3/2/2020,26,0,0
Iraq,3/3/2020,32,0,0
Iraq,3/4/2020,35,2,0
Iraq,3/6/2020,40,3,0
Iraq,3/7/2020,54,4,0
Iraq,3/8/2020,60,6,0
Iraq,3/9/2020,60,6,9
Iraq,3/10/2020,71,7,3
Iraq,3/11/2020,71,7,15
Iraq,3/12/2020,71,8,15
Iraq,3/14/2020,110,10,26
Iraq,3/16/2020,124,10,26
Iraq,3/17/2020,154,11,32
Iraq,3/18/2020,164,12,43
Iraq,3/19/2020,192,13,43
Iraq,3/20/2020,208,17,49
Iraq,3/21/2020,214,17,51
Iraq,3/22/2020,233,20,57
Iraq,3/23/2020,266,23,62
Iraq,3/24/2020,316,27,75
Iraq,3/25/2020,346,29,103
Iraq,3/26/2020,382,36,105
Iraq,3/27/2020,458,40,122
Iraq,3/28/2020,506,42,131
Iraq,3/29/2020,547,42,143
Iraq,3/30/2020,630,46,152
Iraq,3/31/2020,694,50,170
Iraq,4/1/2020,728,52,182
Iraq,4/2/2020,772,54,202
Iraq,4/3/2020,820,54,226
