Country,StatusDate,Infections,Deaths,Recovery
Ireland,2/29/2020,1,0,0
Ireland,3/1/2020,1,0,0
Ireland,3/3/2020,2,0,0
Ireland,3/4/2020,6,0,0
Ireland,3/6/2020,18,0,0
Ireland,3/8/2020,19,0,0
Ireland,3/9/2020,21,0,0
Ireland,3/10/2020,34,0,0
Ireland,3/11/2020,43,1,0
Ireland,3/14/2020,129,2,0
Ireland,3/16/2020,169,2,0
Ireland,3/17/2020,223,2,5
Ireland,3/18/2020,292,2,5
Ireland,3/19/2020,557,3,5
Ireland,3/20/2020,683,3,5
Ireland,3/21/2020,785,3,5
Ireland,3/22/2020,906,4,5
Ireland,3/23/2020,1125,6,5
Ireland,3/24/2020,1329,7,5
Ireland,3/25/2020,1564,9,5
Ireland,3/26/2020,1819,19,5
Ireland,3/27/2020,2121,22,5
Ireland,3/28/2020,2415,36,5
Ireland,3/29/2020,2615,46,5
Ireland,3/30/2020,2910,54,5
Ireland,3/31/2020,3235,71,5
Ireland,4/1/2020,3447,85,5
Ireland,4/2/2020,3849,98,5
Ireland,4/3/2020,4273,120,5
