Country,StatusDate,Infections,Deaths,Recovery
Israel,2/21/2020,1,0,0
Israel,2/22/2020,1,0,0
Israel,2/26/2020,2,0,0
Israel,2/28/2020,4,0,1
Israel,2/29/2020,7,0,1
Israel,3/1/2020,10,0,1
Israel,3/3/2020,12,0,1
Israel,3/4/2020,15,0,1
Israel,3/5/2020,16,0,1
Israel,3/6/2020,21,0,2
Israel,3/8/2020,39,0,2
Israel,3/10/2020,58,0,4
Israel,3/11/2020,109,0,4
Israel,3/12/2020,131,0,4
Israel,3/14/2020,193,0,4
Israel,3/15/2020,251,0,4
Israel,3/16/2020,255,0,4
Israel,3/17/2020,337,0,11
Israel,3/18/2020,433,0,11
Israel,3/19/2020,677,0,11
Israel,3/20/2020,705,0,14
Israel,3/21/2020,883,1,36
Israel,3/22/2020,1071,1,37
Israel,3/23/2020,1442,1,41
Israel,3/24/2020,1930,3,53
Israel,3/25/2020,2369,5,58
Israel,3/26/2020,2693,8,68
Israel,3/27/2020,3035,12,79
Israel,3/28/2020,3619,12,89
Israel,3/29/2020,4247,15,132
Israel,3/30/2020,4695,16,161
Israel,3/31/2020,5358,20,224
Israel,4/1/2020,6092,26,241
Israel,4/2/2020,6857,36,338
Israel,4/3/2020,7428,40,403
