Country,StatusDate,Infections,Deaths,Recovery
Italy,1/31/2020,2,0,0
Italy,2/7/2020,3,0,0
Italy,2/21/2020,20,1,0
Italy,2/22/2020,62,2,1
Italy,2/23/2020,155,3,2
Italy,2/24/2020,229,7,1
Italy,2/25/2020,322,10,1
Italy,2/26/2020,453,12,3
Italy,2/28/2020,888,21,46
Italy,2/29/2020,1128,29,46
Italy,3/1/2020,1694,34,83
Italy,3/2/2020,2036,52,149
Italy,3/3/2020,2502,79,160
Italy,3/4/2020,3089,107,276
Italy,3/5/2020,3858,148,414
Italy,3/6/2020,4636,197,523
Italy,3/7/2020,5883,233,589
Italy,3/8/2020,7375,366,622
Italy,3/9/2020,9172,463,724
Italy,3/10/2020,10149,631,724
Italy,3/11/2020,12462,827,1045
Italy,3/14/2020,21157,1441,1966
Italy,3/16/2020,27980,2158,2749
Italy,3/17/2020,31506,2503,2941
Italy,3/18/2020,35713,2978,4025
Italy,3/19/2020,41035,3405,4440
Italy,3/20/2020,47021,4032,4440
Italy,3/21/2020,53578,4825,6072
Italy,3/22/2020,59138,5476,7024
Italy,3/23/2020,63927,6077,7432
Italy,3/24/2020,69176,6820,8326
Italy,3/25/2020,74386,7503,9362
Italy,3/26/2020,80589,8215,10361
Italy,3/27/2020,86498,9134,10950
Italy,3/28/2020,92472,10023,12384
Italy,3/29/2020,97689,10779,13030
Italy,3/30/2020,101739,11591,14620
Italy,3/31/2020,105792,12428,15729
Italy,4/1/2020,110574,13155,16847
Italy,4/2/2020,115242,13915,18278
Italy,4/3/2020,119827,14681,19758
