Country,StatusDate,Infections,Deaths,Recovery
Jamaica,3/11/2020,1,0,0
Jamaica,3/12/2020,2,0,0
Jamaica,3/16/2020,10,0,2
Jamaica,3/17/2020,12,0,2
Jamaica,3/18/2020,13,0,2
Jamaica,3/19/2020,15,1,2
Jamaica,3/20/2020,16,1,2
Jamaica,3/22/2020,19,1,2
Jamaica,3/23/2020,19,1,2
Jamaica,3/24/2020,21,1,2
Jamaica,3/25/2020,26,1,2
Jamaica,3/26/2020,26,1,2
Jamaica,3/27/2020,26,1,2
Jamaica,3/28/2020,30,1,2
Jamaica,3/29/2020,32,1,2
Jamaica,3/30/2020,36,1,2
Jamaica,3/31/2020,36,1,2
Jamaica,4/1/2020,44,3,2
Jamaica,4/2/2020,47,3,2
Jamaica,4/3/2020,47,3,2
