Country,StatusDate,Infections,Deaths,Recovery
Jordan,3/3/2020,1,0,0
Jordan,3/14/2020,1,0,1
Jordan,3/15/2020,8,0,1
Jordan,3/16/2020,17,0,1
Jordan,3/17/2020,34,0,1
Jordan,3/18/2020,52,0,1
Jordan,3/19/2020,69,0,1
Jordan,3/20/2020,85,0,1
Jordan,3/22/2020,112,0,1
Jordan,3/23/2020,127,0,1
Jordan,3/24/2020,154,0,1
Jordan,3/25/2020,172,0,1
Jordan,3/26/2020,212,0,1
Jordan,3/27/2020,235,1,18
Jordan,3/28/2020,246,1,18
Jordan,3/29/2020,259,3,18
Jordan,3/30/2020,268,5,26
Jordan,3/31/2020,274,5,30
Jordan,4/1/2020,278,5,36
Jordan,4/2/2020,299,5,45
Jordan,4/3/2020,310,5,58
