Country,StatusDate,Infections,Deaths,Recovery
Kazakhstan,3/14/2020,6,0,0
Kazakhstan,3/15/2020,9,0,0
Kazakhstan,3/16/2020,10,0,0
Kazakhstan,3/17/2020,33,0,0
Kazakhstan,3/18/2020,35,0,0
Kazakhstan,3/19/2020,44,0,0
Kazakhstan,3/20/2020,49,3,0
Kazakhstan,3/21/2020,53,0,0
Kazakhstan,3/22/2020,59,0,0
Kazakhstan,3/23/2020,62,0,0
Kazakhstan,3/24/2020,72,0,0
Kazakhstan,3/25/2020,81,0,0
Kazakhstan,3/26/2020,111,1,2
Kazakhstan,3/27/2020,150,1,3
Kazakhstan,3/28/2020,228,1,16
Kazakhstan,3/29/2020,284,1,20
Kazakhstan,3/30/2020,302,1,21
Kazakhstan,3/31/2020,343,2,24
Kazakhstan,4/1/2020,380,3,26
Kazakhstan,4/2/2020,435,3,27
Kazakhstan,4/3/2020,464,6,29
