Country,StatusDate,Infections,Deaths,Recovery
"Korea, South",3/11/2020,7755,60,288
"Korea, South",3/12/2020,7869,66,333
"Korea, South",3/14/2020,8086,72,510
"Korea, South",3/15/2020,8162,75,510
"Korea, South",3/16/2020,8236,75,1137
"Korea, South",3/17/2020,8320,81,1407
"Korea, South",3/18/2020,8413,84,1540
"Korea, South",3/19/2020,8565,91,1540
"Korea, South",3/20/2020,8652,94,1540
"Korea, South",3/21/2020,8799,102,1540
"Korea, South",3/22/2020,8897,104,2909
"Korea, South",3/23/2020,8961,111,3166
"Korea, South",3/24/2020,9037,120,3507
"Korea, South",3/25/2020,9137,126,3730
"Korea, South",3/26/2020,9241,131,4144
"Korea, South",3/27/2020,9332,139,4528
"Korea, South",3/28/2020,9478,144,4811
"Korea, South",3/29/2020,9583,152,5033
"Korea, South",3/30/2020,9661,158,5228
"Korea, South",3/31/2020,9786,162,5408
"Korea, South",4/1/2020,9887,165,5567
"Korea, South",4/2/2020,9976,169,5828
"Korea, South",4/3/2020,10062,174,6021
