Country,StatusDate,Infections,Deaths,Recovery
Kuwait,2/24/2020,1,0,0
Kuwait,2/25/2020,11,0,0
Kuwait,2/26/2020,26,0,0
Kuwait,2/28/2020,45,0,0
Kuwait,3/2/2020,56,0,0
Kuwait,3/5/2020,58,0,0
Kuwait,3/7/2020,61,0,0
Kuwait,3/8/2020,64,0,1
Kuwait,3/10/2020,69,0,1
Kuwait,3/11/2020,72,0,2
Kuwait,3/12/2020,80,0,5
Kuwait,3/14/2020,104,0,5
Kuwait,3/15/2020,112,0,5
Kuwait,3/16/2020,123,0,9
Kuwait,3/17/2020,130,0,9
Kuwait,3/18/2020,142,0,15
Kuwait,3/19/2020,148,0,18
Kuwait,3/20/2020,159,0,18
Kuwait,3/21/2020,176,0,27
Kuwait,3/22/2020,188,0,30
Kuwait,3/23/2020,189,0,30
Kuwait,3/24/2020,191,0,39
Kuwait,3/25/2020,195,0,43
Kuwait,3/26/2020,208,0,49
Kuwait,3/27/2020,225,0,57
Kuwait,3/28/2020,235,0,64
Kuwait,3/29/2020,255,0,67
Kuwait,3/30/2020,266,0,72
Kuwait,3/31/2020,289,0,73
Kuwait,4/1/2020,317,0,80
Kuwait,4/2/2020,342,0,81
Kuwait,4/3/2020,417,0,82
