Country,StatusDate,Infections,Deaths,Recovery
Latvia,3/2/2020,1,0,0
Latvia,3/4/2020,1,0,0
Latvia,3/8/2020,2,0,0
Latvia,3/9/2020,6,0,0
Latvia,3/10/2020,8,0,1
Latvia,3/11/2020,10,0,1
Latvia,3/14/2020,26,0,1
Latvia,3/15/2020,30,0,1
Latvia,3/16/2020,34,0,1
Latvia,3/17/2020,49,0,1
Latvia,3/18/2020,71,0,1
Latvia,3/19/2020,86,0,1
Latvia,3/20/2020,111,0,1
Latvia,3/21/2020,124,0,1
Latvia,3/22/2020,139,0,1
Latvia,3/23/2020,180,0,1
Latvia,3/24/2020,197,0,1
Latvia,3/25/2020,221,0,1
Latvia,3/26/2020,244,0,1
Latvia,3/27/2020,280,0,1
Latvia,3/28/2020,305,0,1
Latvia,3/29/2020,347,0,1
Latvia,3/30/2020,376,0,1
Latvia,3/31/2020,398,0,1
Latvia,4/1/2020,446,0,1
Latvia,4/2/2020,458,0,31
Latvia,4/3/2020,493,1,1
