Country,StatusDate,Infections,Deaths,Recovery
Lebanon,2/21/2020,1,0,0
Lebanon,2/22/2020,1,0,0
Lebanon,2/26/2020,2,0,0
Lebanon,2/29/2020,4,0,0
Lebanon,3/1/2020,10,0,0
Lebanon,3/2/2020,13,0,0
Lebanon,3/4/2020,13,0,1
Lebanon,3/5/2020,16,0,1
Lebanon,3/6/2020,22,0,1
Lebanon,3/8/2020,32,0,1
Lebanon,3/10/2020,41,1,1
Lebanon,3/11/2020,61,3,1
Lebanon,3/12/2020,61,3,1
Lebanon,3/14/2020,93,3,1
Lebanon,3/15/2020,110,3,1
Lebanon,3/16/2020,99,3,1
Lebanon,3/17/2020,120,3,3
Lebanon,3/18/2020,133,3,3
Lebanon,3/19/2020,157,4,4
Lebanon,3/20/2020,163,4,4
Lebanon,3/21/2020,187,4,4
Lebanon,3/22/2020,248,4,8
Lebanon,3/23/2020,267,4,8
Lebanon,3/24/2020,318,4,8
Lebanon,3/25/2020,333,6,20
Lebanon,3/26/2020,368,6,23
Lebanon,3/27/2020,391,8,27
Lebanon,3/28/2020,412,8,30
Lebanon,3/29/2020,438,10,30
Lebanon,3/30/2020,446,11,35
Lebanon,3/31/2020,470,12,37
Lebanon,4/1/2020,479,14,43
Lebanon,4/2/2020,494,16,46
Lebanon,4/3/2020,508,17,50
