Country,StatusDate,Infections,Deaths,Recovery
Liechtenstein,3/4/2020,1,0,0
Liechtenstein,3/14/2020,4,0,0
Liechtenstein,3/17/2020,7,0,0
Liechtenstein,3/18/2020,28,0,0
Liechtenstein,3/21/2020,37,0,0
Liechtenstein,3/22/2020,37,0,0
Liechtenstein,3/23/2020,51,0,0
Liechtenstein,3/24/2020,51,0,0
Liechtenstein,3/25/2020,51,0,0
Liechtenstein,3/26/2020,56,0,0
Liechtenstein,3/27/2020,56,0,0
Liechtenstein,3/28/2020,56,0,0
Liechtenstein,3/29/2020,56,0,0
Liechtenstein,3/30/2020,62,0,0
Liechtenstein,3/31/2020,68,0,0
Liechtenstein,4/1/2020,68,0,0
Liechtenstein,4/2/2020,75,0,0
Liechtenstein,4/3/2020,75,0,0
