Country,StatusDate,Infections,Deaths,Recovery
Lithuania,2/28/2020,1,0,0
Lithuania,3/11/2020,3,0,0
Lithuania,3/14/2020,8,0,0
Lithuania,3/15/2020,12,0,1
Lithuania,3/16/2020,17,0,1
Lithuania,3/17/2020,25,0,1
Lithuania,3/18/2020,27,0,1
Lithuania,3/19/2020,36,0,1
Lithuania,3/20/2020,49,0,1
Lithuania,3/21/2020,83,1,1
Lithuania,3/22/2020,129,1,1
Lithuania,3/23/2020,179,1,1
Lithuania,3/24/2020,209,2,1
Lithuania,3/25/2020,274,4,1
Lithuania,3/26/2020,299,4,1
Lithuania,3/27/2020,358,5,1
Lithuania,3/28/2020,394,7,1
Lithuania,3/29/2020,460,7,1
Lithuania,3/30/2020,491,7,7
Lithuania,3/31/2020,537,8,7
Lithuania,4/1/2020,581,8,7
Lithuania,4/2/2020,649,9,7
Lithuania,4/3/2020,696,9,7
