Country,StatusDate,Infections,Deaths,Recovery
Luxembourg,2/29/2020,1,0,0
Luxembourg,3/1/2020,1,0,0
Luxembourg,3/3/2020,1,0,0
Luxembourg,3/6/2020,2,0,0
Luxembourg,3/8/2020,3,0,0
Luxembourg,3/10/2020,5,0,0
Luxembourg,3/11/2020,7,0,0
Luxembourg,3/12/2020,19,0,0
Luxembourg,3/14/2020,51,1,0
Luxembourg,3/15/2020,59,1,0
Luxembourg,3/16/2020,77,1,0
Luxembourg,3/17/2020,140,1,0
Luxembourg,3/18/2020,203,2,0
Luxembourg,3/19/2020,335,4,0
Luxembourg,3/20/2020,484,4,0
Luxembourg,3/21/2020,670,8,0
Luxembourg,3/22/2020,798,8,6
Luxembourg,3/23/2020,875,8,6
Luxembourg,3/24/2020,1099,8,6
Luxembourg,3/25/2020,1333,8,6
Luxembourg,3/26/2020,1453,9,6
Luxembourg,3/27/2020,1605,15,40
Luxembourg,3/28/2020,1831,18,40
Luxembourg,3/29/2020,1950,21,40
Luxembourg,3/30/2020,1988,22,40
Luxembourg,3/31/2020,2178,23,80
Luxembourg,4/1/2020,2319,29,80
Luxembourg,4/2/2020,2487,30,80
Luxembourg,4/3/2020,2612,31,500
