Country,StatusDate,Infections,Deaths,Recovery
Maldives,3/8/2020,4,0,0
Maldives,3/10/2020,6,0,0
Maldives,3/11/2020,8,0,0
Maldives,3/14/2020,10,0,0
Maldives,3/15/2020,13,0,0
Maldives,3/22/2020,13,0,3
Maldives,3/23/2020,13,0,5
Maldives,3/24/2020,13,0,5
Maldives,3/25/2020,13,0,8
Maldives,3/26/2020,13,0,8
Maldives,3/27/2020,16,0,9
Maldives,3/28/2020,16,0,9
Maldives,3/29/2020,17,0,13
Maldives,3/30/2020,17,0,13
Maldives,3/31/2020,18,0,13
Maldives,4/1/2020,19,0,13
Maldives,4/2/2020,19,0,13
Maldives,4/3/2020,19,0,13
