Country,StatusDate,Infections,Deaths,Recovery
Malta,3/7/2020,3,0,0
Malta,3/8/2020,3,0,0
Malta,3/10/2020,5,0,0
Malta,3/11/2020,6,0,0
Malta,3/14/2020,18,0,1
Malta,3/15/2020,21,0,1
Malta,3/16/2020,30,0,2
Malta,3/17/2020,38,0,2
Malta,3/19/2020,53,0,2
Malta,3/20/2020,64,0,2
Malta,3/21/2020,73,0,2
Malta,3/22/2020,90,0,2
Malta,3/23/2020,107,0,2
Malta,3/24/2020,110,0,2
Malta,3/25/2020,129,0,2
Malta,3/26/2020,134,0,2
Malta,3/27/2020,139,0,2
Malta,3/28/2020,149,0,2
Malta,3/29/2020,151,0,2
Malta,3/30/2020,156,0,2
Malta,3/31/2020,169,0,2
Malta,4/1/2020,188,0,2
Malta,4/2/2020,196,0,2
Malta,4/3/2020,202,0,2
